feature,group,model,kl_mean,kl_std,kl_min,kl_max,oa_mean,oa_std,oa_min,oa_max,n_trials
total_used_pitch,B,cmt,0.564282,0.233772,0.103842,1.154416,0.347762,0.116465,0.055347,0.606954,20
total_used_pitch,B,mingus,0.129802,0.109663,0.015886,0.530619,0.641447,0.129804,0.278862,0.886688,20
total_used_pitch,B,bebopnet,0.071424,0.057070,0.018339,0.212111,0.811128,0.086059,0.548294,0.915882,20
total_pitch_class_histogram,A,cmt,0.188371,0.000000,0.188371,0.188371,0.433511,0.000000,0.433511,0.433511,1
total_pitch_class_histogram,A,mingus,0.035415,0.000000,0.035415,0.035415,0.766419,0.000000,0.766419,0.766419,1
total_pitch_class_histogram,A,bebopnet,0.835519,0.000000,0.835519,0.835519,0.856735,0.000000,0.856735,0.856735,1
pitch_class_transition_matrix,A,cmt,0.082215,0.000000,0.082215,0.082215,0.795752,0.000000,0.795752,0.795752,1
pitch_class_transition_matrix,A,mingus,0.164437,0.000000,0.164437,0.164437,0.764830,0.000000,0.764830,0.764830,1
pitch_class_transition_matrix,A,bebopnet,0.050598,0.000000,0.050598,0.050598,0.861876,0.000000,0.861876,0.861876,1
pitch_range,B,cmt,0.652230,0.353485,0.238653,1.402381,0.293491,0.108388,0.101478,0.467809,20
pitch_range,B,mingus,0.070079,0.062471,0.012564,0.276300,0.631550,0.103889,0.435411,0.791848,20
pitch_range,B,bebopnet,0.132996,0.105520,0.034640,0.482216,0.587166,0.116770,0.371613,0.760733,20
avg_pitch_interval,B,cmt,0.478928,0.219838,0.262648,1.088352,0.467130,0.100702,0.300979,0.618977,20
avg_pitch_interval,B,mingus,0.088230,0.055477,0.033758,0.234207,0.685382,0.084978,0.529905,0.810584,20
avg_pitch_interval,B,bebopnet,0.741778,0.336539,0.405845,1.606912,0.418866,0.101428,0.253431,0.567495,20
total_used_note,A,cmt,0.164123,0.000000,0.164123,0.164123,0.691290,0.000000,0.691290,0.691290,1
total_used_note,A,mingus,0.371753,0.000000,0.371753,0.371753,0.643481,0.000000,0.643481,0.643481,1
total_used_note,A,bebopnet,0.091341,0.000000,0.091341,0.091341,0.769864,0.000000,0.769864,0.769864,1
avg_ioi,A,cmt,10.463044,0.000000,10.463044,10.463044,0.509833,0.000000,0.509833,0.509833,1
avg_ioi,A,mingus,0.924483,0.000000,0.924483,0.924483,0.158781,0.000000,0.158781,0.158781,1
avg_ioi,A,bebopnet,0.573924,0.000000,0.573924,0.573924,0.843456,0.000000,0.843456,0.843456,1
note_length_hist,B,cmt,0.565633,0.317941,0.180531,1.494329,0.447531,0.128704,0.200294,0.676864,20
note_length_hist,B,mingus,1.228643,0.254106,0.737540,1.766933,0.332405,0.081898,0.141384,0.463519,20
note_length_hist,B,bebopnet,0.382691,0.382103,0.050358,1.510545,0.445856,0.149338,0.198235,0.746742,20
note_length_transition_matrix,A,cmt,0.585665,0.000000,0.585665,0.585665,0.559996,0.000000,0.559996,0.559996,1
note_length_transition_matrix,A,mingus,0.252291,0.000000,0.252291,0.252291,0.613119,0.000000,0.613119,0.613119,1
note_length_transition_matrix,A,bebopnet,0.286206,0.000000,0.286206,0.286206,0.536144,0.000000,0.536144,0.536144,1
