feature,model,kl,oa,n_real_pieces,n_gen_pieces
total_used_pitch,mingus,0.320569,0.581117,40,418
total_used_pitch,bebopnet,0.051328,0.809515,40,220
total_pitch_class_histogram,mingus,0.117322,0.665697,40,418
total_pitch_class_histogram,bebopnet,0.107661,0.865557,40,220
pitch_class_transition_matrix,mingus,0.435011,0.760802,40,418
pitch_class_transition_matrix,bebopnet,0.293130,0.765572,40,220
pitch_range,mingus,0.072809,0.728474,40,418
pitch_range,bebopnet,0.124997,0.723375,40,220
avg_pitch_interval,mingus,0.152685,0.635377,40,418
avg_pitch_interval,bebopnet,1.630073,0.359643,40,220
total_used_note,mingus,0.287324,0.786880,40,418
total_used_note,bebopnet,0.061762,0.799509,40,220
avg_ioi,mingus,1.813870,0.012288,40,418
avg_ioi,bebopnet,0.106444,0.899090,40,220
note_length_hist,mingus,1.513498,0.294042,40,418
note_length_hist,bebopnet,0.278135,0.423424,40,220
note_length_transition_matrix,mingus,0.146974,0.775974,40,418
note_length_transition_matrix,bebopnet,0.156521,0.756677,40,220
