trial_seed,feature,kl,oa,n_real_chunks,n_gen_chunks
42,total_used_pitch,0.001223,0.957060,168,168
42,total_pitch_class_histogram,0.003351,0.975218,168,168
42,pitch_class_transition_matrix,0.037466,0.950720,168,168
42,pitch_range,0.000683,0.952850,168,168
42,avg_pitch_interval,0.004887,0.918196,168,168
42,total_used_note,0.004639,0.944247,168,168
42,avg_ioi,0.019144,0.968447,168,168
42,note_length_hist,0.005615,0.956786,168,168
42,note_length_transition_matrix,0.010860,0.930002,168,168
123,total_used_pitch,0.004337,0.945672,168,168
123,total_pitch_class_histogram,0.001889,0.959449,168,168
123,pitch_class_transition_matrix,0.009510,0.970218,168,168
123,pitch_range,0.010814,0.953298,168,168
123,avg_pitch_interval,0.002542,0.951482,168,168
123,total_used_note,0.003874,0.937029,168,168
123,avg_ioi,0.018291,0.960557,168,168
123,note_length_hist,0.002714,0.967857,168,168
123,note_length_transition_matrix,0.011230,0.928735,168,168
7,total_used_pitch,0.003191,0.944229,168,168
7,total_pitch_class_histogram,0.007057,0.977794,168,168
7,pitch_class_transition_matrix,0.019475,0.963916,168,168
7,pitch_range,0.002666,0.943511,168,168
7,avg_pitch_interval,0.006396,0.938616,168,168
7,total_used_note,0.006565,0.941799,168,168
7,avg_ioi,0.005888,0.953088,168,168
7,note_length_hist,0.012454,0.943299,168,168
7,note_length_transition_matrix,0.007888,0.941924,168,168
999,total_used_pitch,0.001703,0.955272,168,168
999,total_pitch_class_histogram,0.001299,0.964937,168,168
999,pitch_class_transition_matrix,0.094552,0.977074,168,168
999,pitch_range,0.001401,0.947329,168,168
999,avg_pitch_interval,0.004566,0.940387,168,168
999,total_used_note,0.004450,0.938087,168,168
999,avg_ioi,0.000535,0.961824,168,168
999,note_length_hist,0.003748,0.962265,168,168
999,note_length_transition_matrix,0.010709,0.941592,168,168
2024,total_used_pitch,0.087407,0.929806,168,168
2024,total_pitch_class_histogram,0.004993,0.978962,168,168
2024,pitch_class_transition_matrix,0.053279,0.919314,168,168
2024,pitch_range,0.005529,0.938675,168,168
2024,avg_pitch_interval,0.007616,0.941109,168,168
2024,total_used_note,0.029760,0.920971,168,168
2024,avg_ioi,0.015939,0.962995,168,168
2024,note_length_hist,0.001348,0.974173,168,168
2024,note_length_transition_matrix,0.013547,0.938851,168,168
