feature,group,model,kl_mean,kl_std,kl_min,kl_max,oa_mean,oa_std,oa_min,oa_max,n_trials
total_used_note,A,cmt,0.164123,0.000000,0.164123,0.164123,0.691290,0.000000,0.691290,0.691290,1
total_used_note,A,mingus,0.371753,0.000000,0.371753,0.371753,0.643481,0.000000,0.643481,0.643481,1
total_used_note,A,bebopnet,0.091341,0.000000,0.091341,0.091341,0.769864,0.000000,0.769864,0.769864,1
avg_ioi,A,cmt,10.463044,0.000000,10.463044,10.463044,0.509833,0.000000,0.509833,0.509833,1
avg_ioi,A,mingus,0.924483,0.000000,0.924483,0.924483,0.158781,0.000000,0.158781,0.158781,1
avg_ioi,A,bebopnet,0.573924,0.000000,0.573924,0.573924,0.843456,0.000000,0.843456,0.843456,1
note_length_hist,A,cmt,0.544381,0.000000,0.544381,0.544381,0.449916,0.000000,0.449916,0.449916,1
note_length_hist,A,mingus,0.806092,0.000000,0.806092,0.806092,0.349049,0.000000,0.349049,0.349049,1
note_length_hist,A,bebopnet,0.383272,0.000000,0.383272,0.383272,0.459029,0.000000,0.459029,0.459029,1
note_length_transition_matrix,A,cmt,0.585665,0.000000,0.585665,0.585665,0.559996,0.000000,0.559996,0.559996,1
note_length_transition_matrix,A,mingus,0.252291,0.000000,0.252291,0.252291,0.613119,0.000000,0.613119,0.613119,1
note_length_transition_matrix,A,bebopnet,0.286206,0.000000,0.286206,0.286206,0.536144,0.000000,0.536144,0.536144,1
total_pitch_class_histogram,A,cmt,0.188371,0.000000,0.188371,0.188371,0.433511,0.000000,0.433511,0.433511,1
total_pitch_class_histogram,A,mingus,0.035415,0.000000,0.035415,0.035415,0.766419,0.000000,0.766419,0.766419,1
total_pitch_class_histogram,A,bebopnet,0.835519,0.000000,0.835519,0.835519,0.856735,0.000000,0.856735,0.856735,1
pitch_class_transition_matrix,A,cmt,0.082215,0.000000,0.082215,0.082215,0.795752,0.000000,0.795752,0.795752,1
pitch_class_transition_matrix,A,mingus,0.164437,0.000000,0.164437,0.164437,0.764830,0.000000,0.764830,0.764830,1
pitch_class_transition_matrix,A,bebopnet,0.050598,0.000000,0.050598,0.050598,0.861876,0.000000,0.861876,0.861876,1
total_used_pitch,B,cmt,0.479618,0.238220,0.045664,0.941577,0.376205,0.131128,0.071724,0.685251,20
total_used_pitch,B,mingus,0.084313,0.066361,0.018247,0.225119,0.678768,0.117262,0.362945,0.878954,20
total_used_pitch,B,bebopnet,0.089770,0.052965,0.020123,0.215055,0.830528,0.069605,0.613075,0.915315,20
pitch_range,B,cmt,0.621452,0.474720,0.178947,2.231207,0.317923,0.133769,0.104381,0.538230,20
pitch_range,B,mingus,0.063886,0.052909,0.012722,0.223528,0.653224,0.115045,0.415209,0.805137,20
pitch_range,B,bebopnet,0.139277,0.112781,0.032617,0.506065,0.611217,0.131093,0.330810,0.783361,20
avg_pitch_interval,B,cmt,0.460965,0.188713,0.129589,0.765646,0.436663,0.122950,0.146735,0.607901,20
avg_pitch_interval,B,mingus,0.078571,0.044894,0.023061,0.181040,0.666933,0.103261,0.424383,0.805827,20
avg_pitch_interval,B,bebopnet,0.729034,0.306896,0.184387,1.185105,0.391264,0.126200,0.093005,0.576222,20
