theme,model,sample_idx,chunk_idx,n_notes,ctr,scale_match,note_density,pitch_entropy,pitch_range,ngram_3_overlap,ngram_4_overlap,ngram_5_overlap,contour_sim
A smooth One_I,cmt,0,0,40,0.550000,0.750000,5.000000,2.874924,19.000000,0.000000,0.000000,0.000000,0.218465
A smooth One_I,cmt,0,1,36,0.500000,0.750000,4.500000,3.014819,14.000000,0.031250,0.000000,0.000000,-0.080915
A smooth One_I,cmt,0,2,37,0.540541,0.783784,4.625000,2.506751,11.000000,0.033333,0.000000,0.000000,0.370542
A smooth One_I,cmt,0,3,40,0.550000,0.750000,5.000000,2.874924,19.000000,0.000000,0.000000,0.000000,0.218465
A smooth One_I,cmt,1,0,26,0.653846,0.884615,3.250000,2.820795,18.000000,0.000000,0.000000,0.000000,0.263442
A smooth One_I,cmt,1,1,17,0.588235,0.705882,2.125000,2.345719,5.000000,0.000000,0.000000,0.000000,0.500067
A smooth One_I,cmt,1,2,34,0.323529,0.735294,4.250000,2.681182,9.000000,0.033333,0.000000,0.000000,0.291002
A smooth One_I,cmt,1,3,26,0.653846,0.884615,3.250000,2.820795,18.000000,0.000000,0.000000,0.000000,0.263442
A smooth One_I,mingus,0,0,28,0.250000,0.642857,3.500000,3.338804,20.000000,0.040000,0.000000,0.000000,0.191665
A smooth One_I,mingus,0,1,32,0.375000,0.656250,4.000000,3.364416,18.000000,0.000000,0.000000,0.000000,0.188937
A smooth One_I,mingus,1,0,23,0.434783,0.913043,2.875000,2.963810,26.000000,0.000000,0.000000,0.000000,0.364994
A smooth One_I,mingus,1,1,29,0.379310,0.620690,3.625000,3.315600,14.000000,0.000000,0.000000,0.000000,0.146784
A smooth One_I,bebopnet,0,0,49,0.265306,0.612245,6.125000,3.228024,12.000000,0.000000,0.000000,0.000000,0.448036
A smooth One_I,bebopnet,0,1,72,0.277778,0.569444,9.000000,3.469004,16.000000,0.014493,0.000000,0.000000,0.318608
A smooth One_I,bebopnet,1,0,157,0.337580,0.630573,19.625000,3.445809,22.000000,0.000000,0.000000,0.000000,0.380795
A smooth One_I,bebopnet,1,1,139,0.374101,0.625899,17.375000,3.525660,18.000000,0.000000,0.000000,0.000000,0.523234
AfterYou'veGone_III,cmt,0,0,47,0.425532,0.787234,5.875000,2.706349,10.000000,0.073171,0.023810,0.000000,0.383154
AfterYou'veGone_III,cmt,0,1,31,0.161290,0.709677,3.875000,1.977917,14.000000,0.000000,0.000000,0.000000,0.417835
AfterYou'veGone_III,cmt,1,0,30,0.300000,0.566667,3.750000,3.073767,18.000000,0.000000,0.000000,0.000000,0.287114
AfterYou'veGone_III,cmt,1,1,39,0.461538,0.615385,4.875000,2.814769,15.000000,0.083333,0.028571,0.000000,0.208651
AfterYou'veGone_III,mingus,0,0,30,0.433333,0.633333,3.750000,3.289246,20.000000,0.000000,0.000000,0.000000,0.240122
AfterYou'veGone_III,mingus,1,0,24,0.625000,0.833333,3.000000,2.784159,26.000000,0.000000,0.000000,0.000000,0.698579
