metric,model_a,model_b,n_a,n_b,u_statistic,p_value,significant_at_0.05
ctr,cmt,mingus,99,97,7255.0,6.485365542821239e-10,True
ctr,cmt,bebopnet,99,98,8236.0,2.6932769346083796e-17,True
ctr,mingus,bebopnet,97,98,6358.0,4.661277683369595e-05,True
scale_match,cmt,mingus,99,97,6910.0,1.1008141975307544e-07,True
scale_match,cmt,bebopnet,99,98,8337.0,2.9961493544192362e-18,True
scale_match,mingus,bebopnet,97,98,6886.0,6.233141984760315e-08,True
note_density,cmt,mingus,99,97,5985.0,0.0028844026302702356,True
note_density,cmt,bebopnet,99,98,2.0,8.4324759911176e-34,True
note_density,mingus,bebopnet,97,98,0.0,1.6799680210750025e-33,True
pitch_entropy,cmt,mingus,99,97,45.0,4.6044466452297146e-33,True
pitch_entropy,cmt,bebopnet,99,98,4.0,8.986559127980162e-34,True
pitch_entropy,mingus,bebopnet,97,98,1182.0,1.2876383719656e-19,True
pitch_range,cmt,mingus,99,97,118.5,4.1633415203240417e-32,True
pitch_range,cmt,bebopnet,99,98,82.5,9.528049618413575e-33,True
pitch_range,mingus,bebopnet,97,98,6465.5,1.3865889938960856e-05,True
ngram_3_overlap,cmt,mingus,99,97,7757.0,7.315599873321331e-14,True
ngram_3_overlap,cmt,bebopnet,99,98,4565.0,0.4754906993064215,False
ngram_3_overlap,mingus,bebopnet,97,98,1911.5,4.1126155804746624e-13,True
ngram_4_overlap,cmt,mingus,99,97,6223.0,2.732683768971683e-05,True
ngram_4_overlap,cmt,bebopnet,99,98,3324.0,8.669138557501872e-05,True
ngram_4_overlap,mingus,bebopnet,97,98,2209.5,1.8654594946740653e-12,True
ngram_5_overlap,cmt,mingus,99,97,4994.0,0.4040980356542323,False
ngram_5_overlap,cmt,bebopnet,99,98,3079.0,7.598973653340006e-08,True
ngram_5_overlap,mingus,bebopnet,97,98,2963.5,1.598060723055344e-08,True
contour_sim,cmt,mingus,99,97,4792.0,0.9819155065637551,False
contour_sim,cmt,bebopnet,99,98,2060.0,3.0691555709035775e-12,True
contour_sim,mingus,bebopnet,97,98,1885.0,3.4057507378814883e-13,True
