model,metric,mean,std,median,p25,p75,min,max,kl,oa,value
cmt,mgeval_pc,,,,,,,,0.891332,0.366748,
mingus,mgeval_pc,,,,,,,,0.176516,0.688538,
bebopnet,mgeval_pc,,,,,,,,0.009156,0.854020,
cmt,mgeval_pr,,,,,,,,1.016695,0.302249,
mingus,mgeval_pr,,,,,,,,0.125603,0.649843,
bebopnet,mgeval_pr,,,,,,,,0.164616,0.603905,
cmt,mgeval_pi,,,,,,,,0.682212,0.445569,
mingus,mgeval_pi,,,,,,,,0.113025,0.688610,
bebopnet,mgeval_pi,,,,,,,,1.142756,0.401455,
cmt,mgeval_nc,,,,,,,,0.164123,0.691290,
mingus,mgeval_nc,,,,,,,,0.371753,0.643481,
bebopnet,mgeval_nc,,,,,,,,0.091341,0.769864,
cmt,mgeval_ioi,,,,,,,,10.463044,0.509833,
mingus,mgeval_ioi,,,,,,,,0.924483,0.158781,
bebopnet,mgeval_ioi,,,,,,,,0.573924,0.843456,
cmt,mgeval_pch,,,,,,,,0.188371,0.433511,
mingus,mgeval_pch,,,,,,,,0.035415,0.766419,
bebopnet,mgeval_pch,,,,,,,,0.835519,0.856735,
cmt,mgeval_pctm,,,,,,,,0.082215,0.795752,
mingus,mgeval_pctm,,,,,,,,0.164437,0.764830,
bebopnet,mgeval_pctm,,,,,,,,0.050598,0.861876,
cmt,mgeval_nlh,,,,,,,,0.544381,0.449916,
mingus,mgeval_nlh,,,,,,,,0.806092,0.349049,
bebopnet,mgeval_nlh,,,,,,,,0.383272,0.459029,
cmt,mgeval_nltm,,,,,,,,0.585665,0.559996,
mingus,mgeval_nltm,,,,,,,,0.252291,0.613119,
bebopnet,mgeval_nltm,,,,,,,,0.286206,0.536144,
cmt,scale_match,0.748076,0.115218,0.758428,0.694057,0.817391,0.408010,0.973011,,,
mingus,scale_match,0.672032,0.087213,0.671632,0.612568,0.733333,0.393860,0.880000,,,
bebopnet,scale_match,0.612232,0.055892,0.609017,0.581425,0.640248,0.486957,0.805451,,,
cmt,scale_match_per_time,0.750484,0.120532,0.766051,0.679230,0.821663,0.384319,0.992556,,,
mingus,scale_match_per_time,0.670139,0.091309,0.654897,0.607294,0.741147,0.435810,0.900557,,,
bebopnet,scale_match_per_time,0.629788,0.068100,0.625622,0.583394,0.663479,0.460597,0.893943,,,
cmt,chord_tone_ratio,0.477109,0.109336,0.472610,0.417020,0.544212,0.169048,0.747696,,,
mingus,chord_tone_ratio,0.391744,0.076577,0.381105,0.329701,0.437500,0.188597,0.644827,,,
bebopnet,chord_tone_ratio,0.351859,0.065186,0.344476,0.311260,0.378059,0.243946,0.626910,,,
cmt,ctr_first_beat,0.493440,0.192229,0.516250,0.370313,0.594197,0.000000,1.000000,,,
mingus,ctr_first_beat,0.360096,0.282026,0.333333,0.166666,0.500000,0.000000,1.000000,,,
bebopnet,ctr_first_beat,0.375279,0.190715,0.369286,0.250000,0.500000,0.000000,1.000000,,,
cmt,chord_match_per_time,0.484439,0.111915,0.485154,0.423462,0.537580,0.205160,0.826210,,,
mingus,chord_match_per_time,0.390688,0.094131,0.380551,0.327863,0.435760,0.216275,0.702071,,,
bebopnet,chord_match_per_time,0.365430,0.089462,0.353083,0.314767,0.396540,0.245817,0.820073,,,
cmt,bar_rhythm_jsd,,,,,,,,,,0.637764
mingus,bar_rhythm_jsd,,,,,,,,,,0.652490
bebopnet,bar_rhythm_jsd,,,,,,,,,,0.658305
