feature,model,kl,oa,n_real_pieces,n_gen_pieces
total_used_pitch,cmt,0.891332,0.366748,337,700
total_used_pitch,mingus,0.176516,0.688538,337,405
total_used_pitch,bebopnet,0.009156,0.854020,337,479
total_pitch_class_histogram,cmt,0.188371,0.433511,337,700
total_pitch_class_histogram,mingus,0.035415,0.766419,337,405
total_pitch_class_histogram,bebopnet,0.835519,0.856735,337,479
pitch_class_transition_matrix,cmt,0.082215,0.795752,337,700
pitch_class_transition_matrix,mingus,0.164437,0.764830,337,405
pitch_class_transition_matrix,bebopnet,0.050598,0.861876,337,479
pitch_range,cmt,1.016695,0.302249,337,700
pitch_range,mingus,0.125603,0.649843,337,405
pitch_range,bebopnet,0.164616,0.603905,337,479
avg_pitch_interval,cmt,0.682212,0.445569,337,700
avg_pitch_interval,mingus,0.113025,0.688610,337,405
avg_pitch_interval,bebopnet,1.142756,0.401455,337,479
total_used_note,cmt,0.164123,0.691290,337,700
total_used_note,mingus,0.371753,0.643481,337,405
total_used_note,bebopnet,0.091341,0.769864,337,479
avg_ioi,cmt,10.463044,0.509833,337,700
avg_ioi,mingus,0.924483,0.158781,337,405
avg_ioi,bebopnet,0.573924,0.843456,337,479
note_length_hist,cmt,0.544381,0.449916,337,700
note_length_hist,mingus,0.806092,0.349049,337,405
note_length_hist,bebopnet,0.383272,0.459029,337,479
note_length_transition_matrix,cmt,0.585665,0.559996,337,700
note_length_transition_matrix,mingus,0.252291,0.613119,337,405
note_length_transition_matrix,bebopnet,0.286206,0.536144,337,479
