theme,model,sample_idx,chunk_idx,n_notes,ctr,chord_match_per_time,ctr_first_beat,scale_match,scale_match_per_time,note_density,pitch_entropy,ngram_3_overlap,ngram_4_overlap,ngram_5_overlap
A smooth One_I,cmt,0,0,40,0.550000,0.375782,1.000000,0.750000,0.605454,5.000000,2.874924,0.000000,0.000000,0.000000
A smooth One_I,cmt,0,1,36,0.500000,0.606683,0.666667,0.750000,0.797670,4.500000,3.014819,0.031250,0.000000,0.000000
A smooth One_I,cmt,0,2,37,0.540541,0.506912,0.600000,0.783784,0.802995,4.625000,2.506751,0.033333,0.000000,0.000000
A smooth One_I,cmt,0,3,40,0.550000,0.375782,1.000000,0.750000,0.605454,5.000000,2.874924,0.000000,0.000000,0.000000
A smooth One_I,cmt,1,0,26,0.653846,0.446305,1.000000,0.884615,0.638752,3.250000,2.820795,0.000000,0.000000,0.000000
A smooth One_I,cmt,1,1,17,0.588235,0.788411,0.000000,0.705882,0.826691,2.125000,2.345719,0.000000,0.000000,0.000000
A smooth One_I,cmt,1,2,34,0.323529,0.363907,0.666667,0.735294,0.718146,4.250000,2.681182,0.033333,0.000000,0.000000
A smooth One_I,cmt,1,3,26,0.653846,0.446305,1.000000,0.884615,0.638752,3.250000,2.820795,0.000000,0.000000,0.000000
A smooth One_I,mingus,0,0,28,0.250000,0.121532,0.000000,0.642857,0.485656,3.500000,3.338804,0.040000,0.000000,0.000000
A smooth One_I,mingus,0,1,32,0.375000,0.408787,0.333333,0.656250,0.606972,4.000000,3.364416,0.000000,0.000000,0.000000
A smooth One_I,mingus,1,0,23,0.434783,0.303496,,0.913043,0.896141,2.875000,2.963810,0.000000,0.000000,0.000000
A smooth One_I,mingus,1,1,29,0.379310,0.360507,0.500000,0.620690,0.611923,3.625000,3.315600,0.000000,0.000000,0.000000
A smooth One_I,bebopnet,0,0,49,0.265306,0.330955,0.333333,0.612245,0.640946,6.125000,3.228024,0.000000,0.000000,0.000000
A smooth One_I,bebopnet,0,1,72,0.277778,0.320773,0.500000,0.569444,0.561173,9.000000,3.469004,0.014493,0.000000,0.000000
A smooth One_I,bebopnet,1,0,157,0.337580,0.308386,0.200000,0.630573,0.634235,19.625000,3.445809,0.000000,0.000000,0.000000
A smooth One_I,bebopnet,1,1,139,0.374101,0.374375,1.000000,0.625899,0.642917,17.375000,3.525660,0.000000,0.000000,0.000000
AfterYou'veGone_III,cmt,0,0,47,0.425532,0.471123,0.333333,0.787234,0.824064,5.875000,2.706349,0.073171,0.023810,0.000000
AfterYou'veGone_III,cmt,0,1,31,0.161290,0.369533,0.000000,0.709677,0.801966,3.875000,1.977917,0.000000,0.000000,0.000000
AfterYou'veGone_III,cmt,1,0,30,0.300000,0.236927,0.000000,0.566667,0.390830,3.750000,3.073767,0.000000,0.000000,0.000000
AfterYou'veGone_III,cmt,1,1,39,0.461538,0.460183,0.250000,0.615385,0.610521,4.875000,2.814769,0.083333,0.028571,0.000000
AfterYou'veGone_III,mingus,0,0,30,0.433333,0.484923,0.666667,0.633333,0.631458,3.750000,3.289246,0.000000,0.000000,0.000000
AfterYou'veGone_III,mingus,1,0,24,0.625000,0.570479,1.000000,0.833333,0.782092,3.000000,2.784159,0.000000,0.000000,0.000000
AfterYou'veGone_III,bebopnet,0,0,43,0.348837,0.292435,0.000000,0.581395,0.682742,5.375000,3.119280,0.000000,0.000000,0.000000
AfterYou'veGone_III,bebopnet,1,0,132,0.446970,0.497845,0.250000,0.606061,0.626103,16.500000,3.507643,0.027523,0.000000,0.000000
AllOfMe_C_IV_Part-2,cmt,0,0,22,0.454545,0.320000,0.333333,0.954545,0.946545,2.750000,2.482889,0.052632,0.000000,0.000000
AllOfMe_C_IV_Part-2,cmt,0,1,16,0.375000,0.422421,1.000000,0.875000,0.968883,2.000000,2.483459,0.000000,0.000000,0.000000
AllOfMe_C_IV_Part-2,cmt,0,2,22,0.590909,0.529270,0.333333,0.954545,0.941059,2.750000,2.236984,0.105263,0.000000,0.000000
AllOfMe_C_IV_Part-2,cmt,0,3,21,0.571429,0.617869,1.000000,0.952381,0.986724,2.625000,2.470197,0.000000,0.000000,0.000000
AllOfMe_C_IV_Part-2,cmt,1,0,5,0.200000,0.068966,,0.600000,0.735737,0.625000,1.521928,0.000000,0.000000,
AllOfMe_C_IV_Part-2,cmt,1,1,2,0.500000,0.950827,,1.000000,1.000000,0.250000,1.000000,,,
AllOfMe_C_IV_Part-2,cmt,1,2,5,0.400000,0.176508,,0.800000,0.764763,0.625000,2.321928,0.500000,0.000000,
AllOfMe_C_IV_Part-2,cmt,1,3,3,0.666667,0.967036,,1.000000,1.000000,0.375000,0.918296,,,
AllOfMe_C_IV_Part-2,mingus,0,0,22,0.500000,0.549446,,0.772727,0.785586,2.750000,2.952102,0.000000,0.000000,0.000000
AllOfMe_C_IV_Part-2,mingus,0,1,31,0.354839,0.362174,,0.645161,0.676280,3.875000,3.364383,0.000000,0.000000,0.000000
AllOfMe_C_IV_Part-2,mingus,1,0,21,0.619048,0.543434,,0.904762,0.876599,2.625000,2.529488,0.000000,0.000000,0.000000
AllOfMe_C_IV_Part-2,mingus,1,1,20,0.450000,0.703273,1.000000,0.900000,0.935234,2.500000,3.008695,0.000000,0.000000,0.000000
AllOfMe_C_IV_Part-2,bebopnet,0,0,55,0.400000,0.442093,0.333333,0.618182,0.631860,6.875000,3.453085,0.020000,0.000000,0.000000
AllOfMe_C_IV_Part-2,bebopnet,0,1,64,0.484375,0.480395,0.666667,0.656250,0.606526,8.000000,2.894805,0.037037,0.000000,0.000000
AllOfMe_C_IV_Part-2,bebopnet,1,0,117,0.273504,0.299980,0.000000,0.555556,0.558216,14.625000,3.514228,0.000000,0.000000,0.000000
AllOfMe_C_IV_Part-2,bebopnet,1,1,111,0.414414,0.459583,0.000000,0.621622,0.631555,13.875000,3.239602,0.030303,0.000000,0.000000
AllOfMe_C_V,cmt,0,0,22,0.454545,0.320000,0.333333,0.954545,0.946545,2.750000,2.482889,0.052632,0.000000,0.000000
AllOfMe_C_V,cmt,0,1,16,0.375000,0.422421,1.000000,0.875000,0.968883,2.000000,2.483459,0.000000,0.000000,0.000000
AllOfMe_C_V,cmt,0,2,22,0.590909,0.529270,0.333333,0.954545,0.941059,2.750000,2.236984,0.105263,0.000000,0.000000
AllOfMe_C_V,cmt,0,3,21,0.571429,0.617869,1.000000,0.952381,0.986724,2.625000,2.470197,0.000000,0.000000,0.000000
AllOfMe_C_V,cmt,1,0,5,0.200000,0.068966,,0.600000,0.735737,0.625000,1.521928,0.000000,0.000000,
AllOfMe_C_V,cmt,1,1,2,0.500000,0.950827,,1.000000,1.000000,0.250000,1.000000,,,
AllOfMe_C_V,cmt,1,2,5,0.400000,0.176508,,0.800000,0.764763,0.625000,2.321928,0.500000,0.000000,
AllOfMe_C_V,cmt,1,3,3,0.666667,0.967036,,1.000000,1.000000,0.375000,0.918296,,,
AllOfMe_C_V,mingus,0,0,22,0.500000,0.549446,,0.772727,0.785586,2.750000,2.952102,0.000000,0.000000,0.000000
AllOfMe_C_V,mingus,0,1,31,0.354839,0.362174,,0.645161,0.676280,3.875000,3.364383,0.000000,0.000000,0.000000
AllOfMe_C_V,mingus,1,0,21,0.619048,0.543434,,0.904762,0.876599,2.625000,2.529488,0.000000,0.000000,0.000000
AllOfMe_C_V,mingus,1,1,20,0.450000,0.703273,1.000000,0.900000,0.935234,2.500000,3.008695,0.000000,0.000000,0.000000
AllOfMe_C_V,bebopnet,0,0,55,0.400000,0.442093,0.333333,0.618182,0.631860,6.875000,3.453085,0.020000,0.000000,0.000000
AllOfMe_C_V,bebopnet,0,1,64,0.484375,0.480395,0.666667,0.656250,0.606526,8.000000,2.894805,0.037037,0.000000,0.000000
AllOfMe_C_V,bebopnet,1,0,117,0.273504,0.299980,0.000000,0.555556,0.558216,14.625000,3.514228,0.000000,0.000000,0.000000
AllOfMe_C_V,bebopnet,1,1,111,0.414414,0.459583,0.000000,0.621622,0.631555,13.875000,3.239602,0.030303,0.000000,0.000000
AllOfMe_F_V,cmt,0,0,22,0.454545,0.320000,0.333333,0.954545,0.946545,2.750000,2.482889,0.052632,0.000000,0.000000
AllOfMe_F_V,cmt,0,1,16,0.375000,0.422421,1.000000,0.875000,0.968883,2.000000,2.483459,0.000000,0.000000,0.000000
AllOfMe_F_V,cmt,0,2,22,0.590909,0.529270,0.333333,0.954545,0.941059,2.750000,2.236984,0.105263,0.000000,0.000000
AllOfMe_F_V,cmt,0,3,21,0.571429,0.617869,1.000000,0.952381,0.986724,2.625000,2.470197,0.000000,0.000000,0.000000
AllOfMe_F_V,cmt,1,0,5,0.200000,0.068966,,0.600000,0.735737,0.625000,1.521928,0.000000,0.000000,
AllOfMe_F_V,cmt,1,1,2,0.500000,0.950827,,1.000000,1.000000,0.250000,1.000000,,,
AllOfMe_F_V,cmt,1,2,5,0.400000,0.176508,,0.800000,0.764763,0.625000,2.321928,0.500000,0.000000,
AllOfMe_F_V,cmt,1,3,3,0.666667,0.967036,,1.000000,1.000000,0.375000,0.918296,,,
AllOfMe_F_V,mingus,0,0,25,0.360000,0.412197,,0.680000,0.747228,3.125000,2.968884,0.000000,0.000000,0.000000
AllOfMe_F_V,mingus,0,1,26,0.500000,0.383402,0.000000,0.692308,0.550166,3.250000,3.243736,0.000000,0.000000,0.000000
AllOfMe_F_V,mingus,1,0,25,0.480000,0.535714,,0.800000,0.868831,3.125000,2.888884,0.000000,0.000000,0.000000
AllOfMe_F_V,mingus,1,1,23,0.391304,0.414833,,0.826087,0.906539,2.875000,3.000973,0.000000,0.000000,0.000000
AllOfMe_F_V,bebopnet,0,0,38,0.289474,0.336966,0.333333,0.605263,0.584015,4.750000,3.389265,0.062500,0.030303,0.000000
AllOfMe_F_V,bebopnet,0,1,104,0.326923,0.284415,0.250000,0.519231,0.519102,13.000000,3.544553,0.067416,0.031250,0.010204
AllOfMe_F_V,bebopnet,1,0,126,0.277778,0.264300,0.500000,0.523810,0.491782,15.750000,3.287583,0.051020,0.000000,0.000000
AllOfMe_F_V,bebopnet,1,1,166,0.277108,0.281012,0.000000,0.554217,0.540636,20.750000,3.507166,0.029851,0.000000,0.000000
AloneIntheMorning_III,cmt,0,0,28,0.107143,0.100273,0.000000,0.714286,0.774898,3.500000,2.121105,0.136364,0.041667,0.000000
AloneIntheMorning_III,cmt,0,1,27,0.555556,0.579595,0.666667,0.629630,0.643799,3.375000,2.671011,0.041667,0.000000,0.000000
AloneIntheMorning_III,cmt,0,2,29,0.620690,0.559848,0.000000,0.896552,0.907536,3.625000,2.264360,0.238095,0.045455,0.000000
AloneIntheMorning_III,cmt,0,3,34,0.470588,0.457617,0.000000,0.617647,0.588026,4.250000,2.855866,0.000000,0.000000,0.000000
AloneIntheMorning_III,cmt,1,0,8,0.125000,0.181141,0.000000,0.500000,0.545906,1.000000,1.750000,0.000000,0.000000,0.000000
AloneIntheMorning_III,cmt,1,1,9,0.333333,0.418182,,0.555556,0.584091,1.125000,2.197160,0.000000,0.000000,0.000000
AloneIntheMorning_III,cmt,1,2,36,0.750000,0.734796,0.666667,0.944444,0.862069,4.500000,2.601025,0.000000,0.000000,0.000000
AloneIntheMorning_III,cmt,1,3,21,0.809524,0.896584,1.000000,0.904762,0.976810,2.625000,2.067131,0.000000,0.000000,0.000000
AloneIntheMorning_III,mingus,0,0,28,0.321429,0.388489,0.500000,0.500000,0.548101,3.500000,2.976600,0.000000,0.000000,0.000000
AloneIntheMorning_III,mingus,0,1,30,0.366667,0.446379,,0.466667,0.576271,3.750000,3.215922,0.000000,0.000000,0.000000
AloneIntheMorning_III,mingus,1,0,29,0.344828,0.316382,,0.655172,0.619391,3.625000,3.076895,0.000000,0.000000,0.000000
AloneIntheMorning_III,mingus,1,1,22,0.318182,0.448589,0.000000,0.545455,0.592320,2.750000,2.845351,0.000000,0.000000,0.000000
AloneIntheMorning_III,bebopnet,0,0,30,0.233333,0.235747,0.000000,0.700000,0.663056,3.750000,3.127421,0.000000,0.000000,0.000000
AloneIntheMorning_III,bebopnet,0,1,121,0.371901,0.342513,0.666667,0.611570,0.602410,15.125000,3.458079,0.009091,0.000000,0.000000
AloneIntheMorning_III,bebopnet,1,0,101,0.346535,0.399255,0.000000,0.623762,0.600526,12.625000,3.450113,0.070588,0.021053,0.000000
AloneIntheMorning_III,bebopnet,1,1,169,0.278107,0.270191,0.200000,0.544379,0.537830,21.125000,3.467561,0.046980,0.012121,0.006098
Ambidextrous_I,cmt,0,0,37,0.270270,0.214686,0.200000,0.756757,0.794238,4.625000,2.495768,0.000000,0.000000,0.000000
Ambidextrous_I,cmt,0,1,27,0.444444,0.435879,1.000000,0.925926,0.922915,3.375000,2.305296,0.000000,0.000000,0.000000
Ambidextrous_I,cmt,0,2,46,0.847826,0.864203,0.666667,0.978261,0.982910,5.750000,1.623529,0.000000,0.000000,0.000000
Ambidextrous_I,cmt,0,3,26,,,,,,3.250000,2.385793,0.000000,0.000000,0.000000
Ambidextrous_I,cmt,0,4,30,,,,,,3.750000,3.043019,0.000000,0.000000,0.000000
Ambidextrous_I,cmt,1,0,24,0.375000,0.554944,0.750000,0.666667,0.838337,3.000000,2.682817,0.000000,0.000000,0.000000
Ambidextrous_I,cmt,1,1,15,0.733333,0.635688,1.000000,1.000000,1.000000,1.875000,1.989898,0.000000,0.000000,0.000000
Ambidextrous_I,cmt,1,2,24,0.416667,0.539587,0.500000,0.875000,0.903526,3.000000,2.401364,0.000000,0.000000,0.000000
Ambidextrous_I,cmt,1,3,27,,,,,,3.375000,2.609845,0.000000,0.000000,0.000000
Ambidextrous_I,cmt,1,4,26,,,,,,3.250000,2.992502,0.217391,0.181818,0.142857
Ambidextrous_I,mingus,0,0,31,0.387097,0.374067,0.000000,0.709677,0.608716,3.875000,3.259702,0.000000,0.000000,0.000000
Ambidextrous_I,mingus,0,1,28,0.285714,0.366170,1.000000,0.607143,0.634128,3.500000,3.056657,0.000000,0.000000,0.000000
Ambidextrous_I,mingus,0,2,27,0.259259,0.309091,0.000000,0.666667,0.630413,3.375000,3.189530,0.041667,0.000000,0.000000
Ambidextrous_I,mingus,1,0,26,0.269231,0.250125,0.333333,0.615385,0.609845,3.250000,3.130097,0.000000,0.000000,0.000000
Ambidextrous_I,mingus,1,1,19,0.421053,0.404972,0.500000,0.578947,0.620231,2.375000,3.110578,0.000000,0.000000,0.000000
Ambidextrous_I,mingus,1,2,36,0.277778,0.288019,,0.722222,0.722547,4.500000,3.147870,0.000000,0.000000,0.000000
Ambidextrous_I,bebopnet,0,0,93,0.333333,0.343064,0.000000,0.602151,0.602692,11.625000,3.556047,0.000000,0.000000,0.000000
Ambidextrous_I,bebopnet,0,1,69,0.304348,0.237241,0.500000,0.594203,0.615707,8.625000,3.457587,0.000000,0.000000,0.000000
Ambidextrous_I,bebopnet,0,2,113,0.283186,0.309059,0.000000,0.663717,0.676732,14.125000,3.494067,0.009709,0.000000,0.000000
Ambidextrous_I,bebopnet,1,0,56,0.285714,0.359175,1.000000,0.482143,0.509292,7.000000,3.451011,0.000000,0.000000,0.000000
Ambidextrous_I,bebopnet,1,1,116,0.370690,0.368174,,0.568966,0.569606,14.500000,3.346742,0.011364,0.000000,0.000000
Ambidextrous_I,bebopnet,1,2,101,0.297030,0.289503,0.500000,0.603960,0.578348,12.625000,3.429435,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,cmt,0,0,24,0.416667,0.430240,0.500000,0.791667,0.809864,3.000000,2.147317,0.055556,0.000000,0.000000
BigBlues_IV_Part-1,cmt,0,1,26,0.692308,0.807450,0.666667,0.423077,0.422875,3.250000,2.214702,0.045455,0.000000,0.000000
BigBlues_IV_Part-1,cmt,0,2,32,0.593750,0.607299,0.600000,0.625000,0.643796,4.000000,2.965018,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,cmt,0,3,24,0.416667,0.430240,0.500000,0.791667,0.809864,3.000000,2.147317,0.055556,0.000000,0.000000
BigBlues_IV_Part-1,cmt,1,0,17,0.529412,0.709469,0.666667,0.705882,0.789813,2.125000,2.380430,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,cmt,1,1,36,0.361111,0.439495,0.500000,0.472222,0.511303,4.500000,2.644244,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,cmt,1,2,17,0.529412,0.658245,0.666667,0.470588,0.438830,2.125000,2.654255,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,cmt,1,3,17,0.529412,0.709469,0.666667,0.705882,0.789813,2.125000,2.380430,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,mingus,0,0,37,0.459459,0.511632,0.333333,0.621622,0.570512,4.625000,3.309976,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,mingus,0,1,19,0.526316,0.481033,0.000000,0.789474,0.759278,2.375000,3.155565,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,mingus,0,2,32,0.531250,0.534636,0.000000,0.593750,0.566720,4.000000,3.239416,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,mingus,1,0,20,0.550000,0.464759,1.000000,0.750000,0.788554,2.500000,3.003702,0.062500,0.000000,0.000000
BigBlues_IV_Part-1,mingus,1,1,19,0.368421,0.503218,1.000000,0.789474,0.850949,2.375000,3.115834,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,mingus,1,2,24,0.500000,0.377358,,0.583333,0.603945,3.000000,3.256867,0.000000,0.000000,0.000000
BigBlues_IV_Part-1,bebopnet,0,0,44,0.363636,0.313117,0.250000,0.613636,0.616816,5.500000,3.203559,0.025000,0.000000,0.000000
BigBlues_IV_Part-1,bebopnet,0,1,86,0.441860,0.467604,0.000000,0.662791,0.672815,10.750000,3.357780,0.012821,0.000000,0.000000
BigBlues_IV_Part-1,bebopnet,1,0,107,0.392523,0.417639,0.000000,0.542056,0.584083,13.375000,3.433753,0.010870,0.000000,0.000000
BigBlues_IV_Part-1,bebopnet,1,1,163,0.509202,0.512105,0.333333,0.693252,0.685474,20.375000,3.495904,0.013423,0.000000,0.000000
BirksWorks_IV_Part-2,cmt,0,0,41,0.341463,0.456902,0.200000,0.731707,0.789226,5.125000,2.673450,0.000000,0.000000,0.000000
BirksWorks_IV_Part-2,cmt,1,0,56,0.357143,0.326890,0.600000,0.482143,0.435936,7.000000,2.827858,0.022727,0.000000,0.000000
BirksWorks_IV_Part-2,bebopnet,0,0,47,0.319149,0.330204,0.000000,0.553191,0.646191,5.875000,2.895024,0.250000,0.195122,0.142857
BirksWorks_IV_Part-2,bebopnet,1,0,95,0.273684,0.300394,0.000000,0.568421,0.654470,11.875000,3.425377,0.146667,0.102273,0.067416
BirksWorks_V,cmt,0,0,41,0.341463,0.456902,0.200000,0.731707,0.789226,5.125000,2.673450,0.000000,0.000000,0.000000
BirksWorks_V,cmt,1,0,56,0.357143,0.326890,0.600000,0.482143,0.435936,7.000000,2.827858,0.022727,0.000000,0.000000
BirksWorks_V,bebopnet,0,0,73,0.315068,0.327478,0.333333,0.520548,0.613811,9.125000,3.293512,0.156250,0.117647,0.088235
BirksWorks_V,bebopnet,1,0,95,0.273684,0.300394,0.000000,0.568421,0.654470,11.875000,3.425377,0.146667,0.102273,0.067416
Blue Moon_II,cmt,0,0,20,0.600000,0.601361,0.666667,0.950000,0.949660,2.500000,1.812888,0.071429,0.062500,0.000000
Blue Moon_II,cmt,0,1,44,0.659091,0.634313,0.800000,0.909091,0.865687,5.500000,2.241254,0.093750,0.000000,0.000000
Blue Moon_II,cmt,0,2,41,0.560976,0.583208,0.200000,0.780488,0.795577,5.125000,2.712540,0.000000,0.000000,0.000000
Blue Moon_II,cmt,0,3,19,0.684211,0.714101,0.333333,0.894737,0.905563,2.375000,2.331803,0.125000,0.000000,0.000000
Blue Moon_II,cmt,1,0,4,0.750000,0.428016,,1.000000,1.000000,0.500000,0.811278,0.000000,,
Blue Moon_II,cmt,1,1,12,0.583333,0.319520,,1.000000,1.000000,1.500000,1.825011,0.222222,0.125000,0.000000
Blue Moon_II,cmt,1,2,33,0.515152,0.410023,0.600000,0.666667,0.533887,4.125000,2.907142,0.000000,0.000000,0.000000
Blue Moon_II,cmt,1,3,4,0.750000,0.498294,,1.000000,1.000000,0.500000,1.500000,0.000000,,
Blue Moon_II,mingus,0,0,39,0.435897,0.460619,0.750000,0.846154,0.825927,4.875000,3.155212,0.083333,0.028571,0.000000
Blue Moon_II,mingus,0,1,25,0.320000,0.244125,,0.760000,0.789518,3.125000,3.204889,0.000000,0.000000,0.000000
Blue Moon_II,mingus,1,0,26,0.384615,0.422171,0.666667,0.846154,0.818134,3.250000,3.045842,0.000000,0.000000,0.000000
Blue Moon_II,mingus,1,1,19,0.263158,0.373554,1.000000,0.578947,0.537891,2.375000,3.050302,0.062500,0.000000,0.000000
Blue Moon_II,bebopnet,0,0,54,0.592593,0.614489,0.500000,0.907407,0.916761,6.750000,2.722340,0.571429,0.485714,0.447368
Blue Moon_II,bebopnet,0,1,42,0.261905,0.179958,,0.761905,0.752616,5.250000,3.139856,0.135135,0.078947,0.054054
Blue Moon_II,bebopnet,0,2,77,0.389610,0.386590,0.000000,0.584416,0.564855,9.625000,3.502513,0.000000,0.000000,0.000000
Blue Moon_II,bebopnet,0,3,129,0.310078,0.321817,0.333333,0.643411,0.667753,16.125000,3.484635,0.035714,0.000000,0.000000
Blue Moon_II,bebopnet,1,0,54,0.592593,0.614489,0.500000,0.907407,0.916761,6.750000,2.722340,0.571429,0.485714,0.447368
Blue Moon_II,bebopnet,1,1,65,0.200000,0.182077,0.000000,0.630769,0.685049,8.125000,3.484403,0.070175,0.050000,0.033333
Blue Moon_II,bebopnet,1,2,140,0.385714,0.381352,0.666667,0.685714,0.686693,17.500000,3.494339,0.015625,0.000000,0.000000
Blue Moon_II,bebopnet,1,3,120,0.350000,0.344105,0.500000,0.641667,0.655126,15.000000,3.487657,0.057692,0.017391,0.000000
Blues A La Mode_II,cmt,0,0,29,0.275862,0.243885,0.333333,0.379310,0.474144,3.625000,2.290042,0.080000,0.000000,0.000000
Blues A La Mode_II,cmt,1,0,30,0.333333,0.483002,0.000000,0.533333,0.583461,3.750000,3.034197,0.038462,0.000000,0.000000
Blues A La Mode_II,mingus,0,0,37,0.351351,0.470484,1.000000,0.675676,0.638274,4.625000,3.341361,0.000000,0.000000,0.000000
Blues A La Mode_II,mingus,1,0,28,0.321429,0.471473,0.333333,0.571429,0.632445,3.500000,3.297903,0.000000,0.000000,0.000000
Blues A La Mode_II,bebopnet,0,0,60,0.333333,0.370640,1.000000,0.466667,0.518206,7.500000,3.087303,0.066667,0.041667,0.020833
Blues A La Mode_II,bebopnet,1,0,69,0.347826,0.455276,1.000000,0.507246,0.577085,8.625000,3.331064,0.054545,0.035088,0.017544
Blues on Sunday_III,cmt,0,0,40,0.550000,0.535171,0.333333,0.850000,0.883714,5.000000,2.876121,0.030303,0.000000,0.000000
Blues on Sunday_III,cmt,0,1,54,0.314815,0.224096,0.000000,0.833333,0.831085,6.750000,2.760875,0.000000,0.000000,0.000000
Blues on Sunday_III,cmt,0,2,53,0.358491,0.391940,0.666667,0.584906,0.608850,6.625000,2.225126,0.000000,0.000000,0.000000
Blues on Sunday_III,cmt,1,0,24,0.625000,0.511407,0.333333,0.833333,0.946074,3.000000,2.590200,0.047619,0.000000,0.000000
Blues on Sunday_III,cmt,1,1,50,0.180000,0.228980,0.250000,0.580000,0.572898,6.250000,2.247403,0.000000,0.000000,0.000000
Blues on Sunday_III,cmt,1,2,34,0.264706,0.342432,0.333333,0.470588,0.500620,4.250000,1.987460,0.000000,0.000000,0.000000
