metric,model_a,model_b,n_a,n_b,u_statistic,p_value,significant_at_0.05
ctr,cmt,mingus,99,97,7255.0,6.485365542821239e-10,True
ctr,cmt,bebopnet,99,98,8236.0,2.6932769346083796e-17,True
ctr,mingus,bebopnet,97,98,6358.0,4.661277683369595e-05,True
chord_match_per_time,cmt,mingus,99,97,7267.0,5.353299882350172e-10,True
chord_match_per_time,cmt,bebopnet,99,98,8149.0,1.6977175586218533e-16,True
chord_match_per_time,mingus,bebopnet,97,98,5667.0,0.020431250193360933,True
ctr_first_beat,cmt,mingus,98,93,6251.0,9.072916336302637e-06,True
ctr_first_beat,cmt,bebopnet,98,98,6732.0,1.1751558417028002e-06,True
ctr_first_beat,mingus,bebopnet,93,98,4147.5,0.28367524181541925,False
scale_match,cmt,mingus,99,97,6910.0,1.1008141975307544e-07,True
scale_match,cmt,bebopnet,99,98,8337.0,2.9961493544192362e-18,True
scale_match,mingus,bebopnet,97,98,6886.0,6.233141984760315e-08,True
scale_match_per_time,cmt,mingus,99,97,6815.0,3.978815435674497e-07,True
scale_match_per_time,cmt,bebopnet,99,98,7936.0,1.2647165029292069e-14,True
scale_match_per_time,mingus,bebopnet,97,98,6081.0,0.0007543990966648416,True
note_density,cmt,mingus,99,97,5985.0,0.0028844026302702356,True
note_density,cmt,bebopnet,99,98,2.0,8.4324759911176e-34,True
note_density,mingus,bebopnet,97,98,0.0,1.6799680210750025e-33,True
pitch_entropy,cmt,mingus,99,97,45.0,4.6044466452297146e-33,True
pitch_entropy,cmt,bebopnet,99,98,4.0,8.986559127980162e-34,True
pitch_entropy,mingus,bebopnet,97,98,1182.0,1.2876383719656e-19,True
ngram_3_overlap,cmt,mingus,99,97,7757.0,7.315599873321331e-14,True
ngram_3_overlap,cmt,bebopnet,99,98,4565.0,0.4754906993064215,False
ngram_3_overlap,mingus,bebopnet,97,98,1911.5,4.1126155804746624e-13,True
ngram_4_overlap,cmt,mingus,99,97,6223.0,2.732683768971683e-05,True
ngram_4_overlap,cmt,bebopnet,99,98,3324.0,8.669138557501872e-05,True
ngram_4_overlap,mingus,bebopnet,97,98,2209.5,1.8654594946740653e-12,True
ngram_5_overlap,cmt,mingus,99,97,4994.0,0.4040980356542323,False
ngram_5_overlap,cmt,bebopnet,99,98,3079.0,7.598973653340006e-08,True
ngram_5_overlap,mingus,bebopnet,97,98,2963.5,1.598060723055344e-08,True
